회사이름: 메디웨일, 공고이름: 머신러닝 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45991039?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1, 경력: 신입, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 바이온사이트, 공고이름: senior ml engineer 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45773035?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=17, 경력: 경력10년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 마음에이아이, 공고이름: (주)마음ai worv팀 채용 (ml engineer 직군), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45996220?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=19, 경력: 경력, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 마음에이아이, 공고이름: (주)마음ai worv팀 채용 (ml software engineer직군), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45716875?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=21, 경력: 경력, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 아이지아이코리아, 공고이름: ml engineer 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46071537?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=23, 경력: 경력5년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 마음에이아이, 공고이름: (주)마음ai ml engineer 채용(산업기능요원 / 전문연구요원 병역특례), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45909354?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=25, 경력: 경력무관, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 딥브레인AI, 공고이름: 머신러닝/딥러닝 엔지니어 (전문연구요원 가능), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45971160?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=26, 경력: 경력, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 덴컴, 공고이름: [음성 ai 기업 덴컴] ml optimization 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46058613?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=28, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 에너자이, 공고이름: 에너자이 ml engineer/researcher 채용 공고 (전문연구요원 가능), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45818460?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=29, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 엠트리센, 공고이름: 머신 러닝 엔지니어 정규직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45979990?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=30, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: mlops engineer, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45755804?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=32, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 미니게이트, 공고이름: [경력 3년이상] ml(ai)engineer, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46092442?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=33, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 노르마, 공고이름: [노르마] 머신러닝/인공지능 개발자 채용(quantum machine learning), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45832754?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=35, 경력: 신입·경력, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 어썸좋은생각, 공고이름: [신입/경력]머신러닝 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45899584?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=36, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 포체인스, 공고이름: 포체인스(주)에서 능력 있는 머신러닝 개발자를 모십니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/45980702?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=40, 경력: 경력무관, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 네피리티, 공고이름: [서울] 데이터 분석 및 ai모델 개발 정규직/계약직 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45911857?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=59, 경력: 신입·경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 한국정보공작소, 공고이름: 연구소장님을 모십니다. (ai 비전시스템 개발 총괄 및 개발), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46043627?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=70, 경력: 경력8년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 글로벌시스템스, 공고이름: [정규직] ai 분야 연구개발 소프트웨어(s/w) 경력 모집공고, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46080632?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=76, 경력: 경력4년↑, 지역: 대전, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 데브시스터즈, 공고이름: [기술본부] machine learning engineer (경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46031215?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=77, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 델타엑스, 공고이름: ai 연구원 및 개발자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45944544?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=100, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 미르이즈, 공고이름: 연구소 ai 응용프로그램 개발 및 서비스 기획 경력직 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46006675?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=107, 경력: 신입·경력4년↑, 지역: 광주, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 미르이즈, 공고이름: 연구소 ai 응용프로그램 및 서비스 개발 연구원 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46003403?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=108, 경력: 신입·경력4년↑, 지역: 광주, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 더컴퍼니, 공고이름: a.i vision 전문기업 개발자 정규직 채용공고, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45758125?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=122, 경력: 경력무관, 지역: 경남, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 소프트웨이, 공고이름: 기술과 함께 성장하실 개발자 모집 - 웹, 앱, 모바일, ai, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46008649?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=136, 경력: 신입, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 크레셈, 공고이름: (주)크레셈 비젼개발팀 vision sw part 경력자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46036081?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=144, 경력: 경력3년↑, 지역: 인천, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 파킹고, 공고이름: 주차공간분석 영상 ai 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45867403?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=147, 경력: 신입·경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 바스젠바이오, 공고이름: ai약물개발본부 유전체, system biology 분석 연구원 채용 (신입/경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46084579?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=148, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 섬재, 공고이름: mlops engineer (인프라), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45927319?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=169, 경력: 경력, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 바이트사이즈, 공고이름: machine vision 인공지능 연구 및 장비 개발, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46068359?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=170, 경력: 경력8년↑, 지역: 부산, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 포디아이비젼, 공고이름: opencv/matlab/tensorflow/python/c/c++/linux 알고리즘 개발 (팀원)(팀장), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46081922?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=174, 경력: 신입·경력, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 스누아이랩, 공고이름: mlops/deeplearning 개발 리딩, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45970178?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=183, 경력: 경력6년↑, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 지브이랩, 공고이름: 머신 비전 프로그램 개발자 (딥러닝, 이미지 프로세싱, 시스템 제어, c++ ), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46084896?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=188, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jobkorea
회사이름: 이스트소프트, 공고이름: [estsoft] llm 머신러닝 엔지니어 (경력), url: https://jumpit.saramin.co.kr/position/38371, 경력: 경력 3~7년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 이스트소프트, 공고이름: [estsoft] 음성 인식(stt) 머신러닝 엔지니어 (경력), url: https://jumpit.saramin.co.kr/position/38690, 경력: 경력 3~7년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 라이앤캐처스, 공고이름: [추천엔지니어 ml]추천엔지니어(경력) 모집, url: https://jumpit.saramin.co.kr/position/37561, 경력: 경력 5~10년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 덴컴, 공고이름: ml optimization 엔지니어, url: https://jumpit.saramin.co.kr/position/38172, 경력: 신입~6년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 딥브레인에이아이, 공고이름: 머신러닝/딥러닝 엔지니어, url: https://jumpit.saramin.co.kr/position/37770, 경력: 경력 3~20년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 보스반도체, 공고이름: ai sw 개발 엔지니어 [경력11~15년], url: https://jumpit.saramin.co.kr/position/39635, 경력: 경력 11~15년, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 보스반도체, 공고이름: ai sw 개발 엔지니어 [경력7~11년], url: https://jumpit.saramin.co.kr/position/39634, 경력: 경력 7~11년, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 보스반도체, 공고이름: ai sw 개발 엔지니어 [경력3~7년], url: https://jumpit.saramin.co.kr/position/39633, 경력: 경력 3~7년, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 플라잎, 공고이름: machine learning engineer(전문연구요원), url: https://jumpit.saramin.co.kr/position/39468, 경력: 경력 3~5년, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 글로벌시스템스, 공고이름: ai 분야 연구개발 소프트웨어 (s/w) 경력 모집 공고, url: https://jumpit.saramin.co.kr/position/38930, 경력: 경력 4~10년, 지역: 대전, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 에이젠글로벌, 공고이름: ml engineer, url: https://jumpit.saramin.co.kr/position/38005, 경력: 경력 5~20년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 사람인, 공고이름: [사람인] ai 서비스 개발(석사 신입 지원 가능), url: https://jumpit.saramin.co.kr/position/39060, 경력: 경력 3~8년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 다우기술, 공고이름: ai 서비스 개발, url: https://jumpit.saramin.co.kr/position/38787, 경력: 경력 10~15년, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 넥서스커뮤니티, 공고이름: ai 개발(stt/llm 모델 연구 및 개발), url: https://jumpit.saramin.co.kr/position/38069, 경력: 경력 7~15년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 포지큐브, 공고이름: vision deep learning 기술 개발, url: https://jumpit.saramin.co.kr/position/39674, 경력: 신입~5년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: jumpit
회사이름: 제이씨에프테크놀러지, 공고이름: 머신러닝 엔지니어 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49240447&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력 3~8년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 데이터메이커, 공고이름: ml engineer, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539598&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력 3~15년, 지역: 대전, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 라인플러스, 공고이름: voom ai lab - ml engineer, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391186&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력1년↑, 지역: 경기, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 헥토, 공고이름: [헥토 ai랩] ai테크팀 (software engineer, ml 담당자 ), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49334456&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력8년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 덴컴, 공고이름: [ai 전문기업 덴컴] ml optimization 엔지니어 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333366&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력무관, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 소프트아이, 공고이름: ml 엔지니어 채용 - cloud scale, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388876&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력1년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 클레온, 공고이름: ml engineer (machine learning, 머신러닝), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490405&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력 2~10년, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 라이앤캐처스, 공고이름: 추천엔지니어(ml 엔지니어)를 모집합니다(경력 5년이상), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390535&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력5년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
회사이름: 야놀자, 공고이름: software engineer - ml product, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519011&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=69345138-aa07-43f7-8d60-63664f0cdea4, 경력: 경력3년↑, 지역: 서울, 직무: 머신러닝 엔지니어, 사이트: saramin
