회사이름: 잡코리아, 공고이름: [잡코리아] 데이터 엔지니어 (3년 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46064233?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 와탭랩스, 공고이름: db 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45949176?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=20, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 아데코코리아, 공고이름: [업계3위 글로벌게임사] database engineer 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46061124?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=23, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 데이타뱅크, 공고이름: (대구)db 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46042778?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=24, 경력: 경력무관, 지역: 대구, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 위즈베이스, 공고이름: oracle db 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45745188?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=25, 경력: 경력6년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 에이플랫폼, 공고이름: [신입/경력] database engineer - r&d center, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46030703?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=26, 경력: 신입·경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 에즈웰플러스, 공고이름: [경력] dba / oracle db 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45916157?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=27, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 에이플랫폼, 공고이름: [신입/경력] database engineer - customer support service, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46030714?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=28, 경력: 신입·경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 에이플랫폼, 공고이름: [신입/경력] database engineer - technical solution center, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46030694?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=29, 경력: 신입·경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 이비아이앤씨, 공고이름: 오라클db 엔지니어 신입/경력 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46072358?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=30, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 싸이웰시스템, 공고이름: [싸이웰시스템] db 엔지니어 (신입/경력) 정규직 채용 (3200 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45978880?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=31, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 라온피플, 공고이름: infrastructure팀 데이터엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46020510?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=33, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 마이데이터, 공고이름: airflow 경험 데이터엔지니어 구인합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/45906290?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=34, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 콘센트릭스서비스코리아, 공고이름: 데이터엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45966661?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=36, 경력: 경력1년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 오픈메이트, 공고이름: [오픈메이트] 데이터엔지니어, 데이터모델러, dw, etl 직무 인재 모집(정규), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45985674?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=39, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 두들린, 공고이름: [그리팅] data engineer - 3년 이상, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45861939?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=52, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 데이터마케팅코리아, 공고이름: (주)데이터마케팅코리아 데이터 엔지니어링 직무 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45902675?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=57, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 유클릭, 공고이름: (주)유클릭 oracle db 경력 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45752115?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=58, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 솔로몬엠, 공고이름: 시스템 엔지니어 db 운영 업무 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46068396?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=61, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 트릿지, 공고이름: [tridge] data engineer (산업기능요원), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46030500?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=62, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 클라우드네트웍스, 공고이름: [클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45969184?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=63, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 마인드에이아이, 공고이름: data engineer, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46053566?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=64, 경력: 신입·경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 주식회사더스윙, 공고이름: 데이터 애널리틱 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45953764?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=67, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 가야데이터, 공고이름: 데이터백업 솔루션 엔지니어/시스템엔지니어 경력, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46050049?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=68, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 한국딥러닝, 공고이름: ai 엔지니어(데이터), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46026864?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=69, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 가야데이터, 공고이름: 데이터백업 솔루션 엔지니어/시스템엔지니어 신입, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46050021?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=70, 경력: 신입, 지역: 경남, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 한국데이터복구센터본점, 공고이름: 컴퓨터수리 및 데이터복구 엔지니어 모집합니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/46058179?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=71, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 위앤유텍, 공고이름: 빅데이터 솔루션 (elastic) 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46076633?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=72, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 인젠트, 공고이름: [인젠트] 데이터베이스 사업- db엔지니어, da, 튜너 경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45969434?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=73, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 디토닉, 공고이름: 데이터 플랫폼 개발 리드 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46042921?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=74, 경력: 경력7년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 제이슨, 공고이름: [안랩-제이슨] (경력) 빅데이터 구축 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46083353?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=75, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 아워콤, 공고이름: [과천] m생명 데이터센터 위탁운영 보안/네트워크 엔지니어 모집합니다, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46063599?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=76, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 타임게이트, 공고이름: 빅데이터(splunk) 신입 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46034828?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=77, 경력: 신입, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 스트라드비젼, 공고이름: 데이터 파이프라인 백엔드 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45955669?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=80, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 삼건이엔씨, 공고이름: 미래사업 데이터센터 냉동공조 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45794847?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=83, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 실리콘스튜디오코리아, 공고이름: 자동차 3d 데이터 기술 지원 엔지니어 신입 및 경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46040399?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=88, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 데이타뱅크, 공고이름: (서울)dba, oracle db, sql tuning, cdc 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45920297?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=89, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 디토닉, 공고이름: [디토닉] 데이터허브 솔루션 개발 리드 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45997275?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=90, 경력: 경력7년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 피알시스템, 공고이름: [보안솔루션 엔지니어 db암호화(d`amo)] 경력 사원 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46035872?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=94, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 아워콤, 공고이름: [과천] m생명 데이터센터 운영 사업 windows server 엔지니어 모집합니다, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46063559?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=95, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 유원엔지니어링, 공고이름: 데이터센터 쿨링 세일즈엔지니어 (신입 및 경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46064362?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=96, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 세림티에스지, 공고이름: [데이터센터사업부/대전] 시스템 엔지니어 및 유지관리 se 운영, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45988686?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=98, 경력: 경력10년↑, 지역: 대전, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 씨앤토트플러스, 공고이름: 이천] 데이터센터 시스템 운영원 모집(향후 엔지니어 전환 가능)신입가능,, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46065381?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=100, 경력: 신입·경력1년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 아이티원, 공고이름: [컴퓨터수리] as 외근 엔지니어 모집 ( pc.노트북/데이터복구/초보자교육가능/경력자우대 ), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45957262?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=102, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 비바리퍼블리카, 공고이름: [토스페이먼츠] data engineer, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46023017?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=120, 경력: 경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 다날, 공고이름: 다날 dba·데이터엔지니어링 부문 경력 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46079823?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=121, 경력: 경력10년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 컴퓨터수리, 공고이름: 데이터복구 엔지니어 모십니다., url: https://www.jobkorea.co.kr/Recruit/GI_Read/46090031?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=139, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 컴퓨터수리, 공고이름: 데이터복구 엔지니어 모집 [워라밸], url: https://www.jobkorea.co.kr/Recruit/GI_Read/46090512?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=140, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 엔미디어플랫폼, 공고이름: 데이터엔지니어 인재모집, url: https://jumpit.saramin.co.kr/position/38573, 경력: 경력 5~12년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 워트인텔리전스, 공고이름: 데이터 엔지니어 (8년 이상), url: https://jumpit.saramin.co.kr/position/37991, 경력: 경력 8~12년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 알스퀘어, 공고이름: 데이터 엔지니어, url: https://jumpit.saramin.co.kr/position/39493, 경력: 경력 5~15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 워트인텔리전스, 공고이름: 데이터 엔지니어 (3년 이상), url: https://jumpit.saramin.co.kr/position/37990, 경력: 경력 3~5년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 레진엔터테인먼트, 공고이름: 데이터 엔지니어 (경력), url: https://jumpit.saramin.co.kr/position/38306, 경력: 경력 5~10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 에프엘이에스, 공고이름: 데이터 엔지니어 경력직 채용, url: https://jumpit.saramin.co.kr/position/37788, 경력: 경력 2~6년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 사람인, 공고이름: [사람인] 데이터 엔지니어 (전환형인턴), url: https://jumpit.saramin.co.kr/position/39038, 경력: 신입~3년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
